run_id,market,rate,period,count,amount,side,fetched_at
947ccf63-e120-4afa-8d34-0318ba16e78f,fBTC,2.85e-08,2,1,0.22383856,offer,2026-08-26T01:56:45.108451+00:00
947ccf63-e120-4afa-8d34-0318ba16e78f,fBTC,2.89e-08,2,1,0.1562006,offer,2026-08-26T01:56:45.108451+00:00
947ccf63-e120-4afa-8d34-0318ba16e78f,fBTC,2.9e-08,2,1,100.0,offer,2026-08-26T01:56:45.108451+00:00
947ccf63-e120-4afa-8d34-0318ba16e78f,fBTC,2.9e-08,5,1,0.09514664,offer,2026-08-26T01:56:45.108451+00:00
947ccf63-e120-4afa-8d34-0318ba16e78f,fBTC,2.91e-08,2,27,16.1680666,offer,2026-08-26T01:56:45.108451+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,3.11e-08,120,1,-0.39477387,demand,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.2e-08,59,1,-0.015,demand,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,1.2e-08,59,1,-0.015,demand,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,1.11e-08,120,1,-0.4,demand,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,1.1e-08,120,1,-0.1826823,demand,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,1e-08,10,1,-0.2,demand,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.5e-08,2,3,66.36387746,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7273456e-08,2,1,20.4972843,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.728362e-08,2,42,0.19361609,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,30,107,428.58609339,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,60,8,6.15125724,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,12,2,1.85580208,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,2,201,218.15612533,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,7,10,7.37955224,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,10,8,1.78637215,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,120,58,213.38141922,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,4,4,0.36477312,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,14,6,14.01893143,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,20,5,5.95732358,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,15,9,3.38323497,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,5,10,0.18690862,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,6,1,0.13857429,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,3,4,1.21015348,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,21,2,0.29881947,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.7397260273972602e-08,38,1,0.00451216,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.8e-08,2,1,100.0,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.85e-08,2,1,0.22383856,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.9e-08,2,14,106.7965373,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.9e-08,5,1,0.09514664,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.9e-08,10,1,0.0619742,offer,2026-08-26T03:16:29.555781+00:00
686da690-732b-4a31-badc-112ae6ee8821,fBTC,2.91e-08,2,6,2.5389993,offer,2026-08-26T03:16:29.555781+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,1.2e-08,59,1,-0.015,demand,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,1.11e-08,120,1,-0.4,demand,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,1.1e-08,120,1,-0.1826823,demand,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,1e-08,10,1,-0.2,demand,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.5e-08,2,3,66.20310207,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.728362e-08,2,42,0.19358961,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.73675024e-08,2,1,20.5707694,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,30,107,428.58609339,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,60,8,6.15125724,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,12,2,1.85580208,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,2,195,193.06704934,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,7,10,7.37955224,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,10,8,1.78637215,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,120,58,213.38141922,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,4,4,0.36477312,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,14,6,14.01893143,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,20,5,5.95732358,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,15,9,3.38323497,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,5,10,0.18690862,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,6,1,0.13857429,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,3,4,1.21015348,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,21,2,0.29881947,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.7397260273972602e-08,38,1,0.00451216,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.8e-08,2,1,100.0,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.85e-08,2,1,0.22383856,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.9e-08,2,1,100.0,offer,2026-08-26T04:04:07.996822+00:00
7024165b-9268-4387-9da2-820c78f73f86,fBTC,2.9e-08,5,1,0.09514664,offer,2026-08-26T04:04:07.996822+00:00
